can,peut,dürfen,poder,できる,Potere,פחית
get,obtenir,erhalten,conseguir,得る,Ottenere,לקבל
would,serait,würde,haría,します,volevo,היה
make,faire,machen,hacer,作る,Fare,עשה
know,savoir,wissen,saber,知る,Sapere,לָדַעַת
will,volonté,Wille,voluntad,意思,Volere,רָצוֹן
think,pense,denken,pensar,考える,pensare,לַחשׁוֹב
take,prendre,nehmen,llevar,取る,Prendere,לקחת
see,voir,sehen,ver,見る,Vedere,לִרְאוֹת
come,viens,kommen,venir,来る,Venire,לבוא
could,pourrait,könnte,podría,できた,Potevo,הָיָה יָכוֹל
want,vouloir,wollen,desear,欲しい,Volere,רוצה
look,regarder,sehen,mirar,見て,Aspetto,תראה
use,utiliser,verwenden,usar,使用,utilizzo,להשתמש
find,trouver,finden,encontrar,探す,Trovare,למצוא
give,donner,geben,dar,与える,Dare,לָתֵת
tell,dire,erzählen,decir,教えて,raccontare,לאמר
work,travail,arbeiten,trabajar,仕事,lavoro,עֲבוֹדָה
may,peut,Mai,puede,5月,Maggio,מאי
should call,devrait appeler,sollte anrufen,debería llamar,電話する必要があります,dovrebbe chiamare,צריך להתקשר
try,essayer,versuchen,intentar,試す,Tentativo,לְנַסוֹת
ask,demander,fragen,preguntar,聞く,chiedere,לִשְׁאוֹל
need,besoin,brauchen,necesidad,必要,Bisogno,צוֹרֶך
feel,sentir,fühlen,sentir,感じる,Tatto,להרגיש
become,devenir,werden,convertirse,なる,diventare,הפכו
leave,partir,verlassen,dejar,離れる,Partire,לעזוב
put,mettre,setzen,poner,置く,Mettere,לָשִׂים
mean,signifier,bedeuten,significar,平均,Significare,מתכוון
keep,garder,halten,mantener,保つ,Mantenere,לִשְׁמוֹר
let,laisser,lassen,dejar,させて,permettere,לתת
begin,commencer,beginnen,comenzar,始める,inizio,התחל
seem,sembler,erscheinen,parecer,思われる,sembrare,נראה
help,aide,helfen,ayuda,ヘルプ,aiuto,עֶזרָה
talk,parler,sprechen,hablar,話す,parlare,דבר
turn,tourner,drehen,doblar,振り向く,giro,לפנות
start,commencer,Start,comenzar,始める,inizio,הַתחָלָה
might,pourrait,könnte,podría,かもしれない,Potrebbe,אולי
show,montrer,zeigen,espectáculo,見せる,spettacolo,הופעה
hear,entendre,hören,escuchar,聞く,ascoltare,לִשְׁמוֹעַ
play,jouer,spielen,jugar,遊ぶ,giocare,לְשַׂחֵק
run,courir,laufen,correr,走る,correre,לָרוּץ
move,se déplacer,bewegen,mover,動く,mossa,מהלך \ לזוז \ לעבור
like,comme,wie,como,のように,Piace,כמו
live believe,vivre croire,lebe glauben,Live Believe,生きていると信じています,Live Credi,חי תאמין
hold,prise,halten,sostener,所有,Presa,לְהַחזִיק
bring,apporter,bringen,traer,持ってくる,Portare,לְהָבִיא
happen,arriver,passieren,suceder,起こる,accadere,לִקְרוֹת
must,doit,muss,debe,しなければならない,dovere,צריך
write,écrire,schreiben,escribir,書く,scrivere,לִכתוֹב
provide,fournir,bieten,proporcionar,提供する,fornire,לְסַפֵּק
sit,s'asseoir,sitzen,sentarse,座る,sedersi,לָשֶׁבֶת
stand,rester,Stand,pararse,立つ,in piedi,לַעֲמוֹד
lose,perdre,verlieren,perder,失う,perdere,לאבד
pay,payer,zahlen,pagar,支払う,paga,לְשַׁלֵם
meet,rencontrer,treffen,encontrarse,会う,Incontrare,לִפְגוֹשׁ
include,inclure,enthalten,incluir,含む,includere,לִכלוֹל
continue,continuer,weitermachen,continuar,続く,Continua,לְהַמשִׁיך
set,ensemble,Satz,colocar,セット,impostato,מַעֲרֶכֶת
learn,apprendre,lernen,aprender,学ぶ,Imparare,לִלמוֹד
change,changement,ändern,cambiar,変化,modifica,שינוי
lead,plomb,führen,dirigir,鉛,Guida,עוֹפֶרֶת
​ understand,Comprendre,Verstehen,Comprender,理解してください,Capire,להבין
watch,montre,betrachten,mirar,時計,orologio,שעון
follow,suivre,folgen,seguir,フォローする,seguire,לעקוב אחר
stop,arrêt,stoppen,detener,停止,fermare,תפסיק
create,créer,erstellen,crear,作成する,creare,לִיצוֹר
speak,parler,sprechen,hablar,話す,parlare,לְדַבֵּר
read allow,lire Autoriser,Lesen erlauben,Leer permitido,許可を読んでください,Leggi Consenti,קרא אפשר
add,ajouter,hinzufügen,agregar,追加,aggiungere,לְהוֹסִיף
spend,dépenser,ausgeben,gastar,過ごす,trascorrere,לְבַלוֹת
grow,grandir,wachsen,crecer,育つ,crescere,לגדול
open,ouvrir,offen,abierto,開ける,aprire,לִפְתוֹחַ
walk,marcher,gehen,caminar,歩く,camminare,לָלֶכֶת
win,gagner,gewinnen,ganar,勝つ,vincita,לנצח
offer,offre,Angebot,oferta,オファー,offerta,הַצָעָה
remember,souviens-toi,erinnern,recordar,覚えて,Ricordare,זכור
love,amour,Liebe,amar,愛,Amore,אהבה
consider,considérer,halten,considerar,考慮する,prendere in considerazione,לשקול
appear,apparaître,erscheinen,aparecer,現れる,apparire,לְהוֹפִיעַ
buy,acheter,kaufen,comprar,買う,acquistare,לִקְנוֹת
wait,attendez,Warten,esperar,待って,Aspettare,לַחֲכוֹת
serve,servir,Aufschlag,atender,仕える,servire,לְשָׁרֵת
die,mourir,sterben,morir,死ぬ,morire,לָמוּת
send,envoyer,schicken,enviar,送信,Inviare,לִשְׁלוֹחַ
expect,attendre,erwarten,esperar,期待する,aspettarsi,לְצַפּוֹת
build,construire,bauen,construir,建てる,costruire,לִבנוֹת
stay,rester,bleiben,permanecer,滞在する,rimanere,שָׁהוּת
fall,automne,fallen,caer,秋,autunno,נפילה
cut,couper,schneiden,cortar,カット,taglio,גזירה
reach,atteindre,erreichen,alcanzar,到着,portata,לְהַגִיעַ
kill,tuer,töten,matar,殺す,uccisione,לַהֲרוֹג
remain,rester,bleiben,permanecer,残る,rimanere,לְהִשָׁאֵר
time,temps,Zeit,tiempo,時間,tempo,זְמַן
year,année,Jahr,año,年,anno,שָׁנָה
people,personnes,Menschen,gente,人々,persone,אֲנָשִׁים
way,chemin,Weg,forma,方法,modo,דֶרֶך
day,jour,Tag,día,日,giorno,יְוֹם
man,homme,Mann,hombre,男,Uomo,איש
thing,chose,Ding,cosa,もの,cosa,דָבָר
woman,femme,Frau,mujer,女性,donna,אִשָׁה
life,vie,Leben,vida,人生,vita,חַיִים
child,enfant,Kind,niño,子供,bambino,יֶלֶד
world,monde,Welt,mundo,世界,mondo,עוֹלָם
school,école,Schule,escuela,学校,scuola,בית ספר
state,État,Zustand,estado,州,stato,מדינה
family,famille,Familie,familia,家族,famiglia,מִשׁפָּחָה
student,étudiant,Student,alumno,学生,alunno,סטוּדֶנט
group,groupe,Gruppe,grupo,グループ,gruppo,קְבוּצָה
country,pays,Land,país,国,Paese,מדינה
problem,problème,Problem,problema,問題,problema,בְּעָיָה
hand,main,Hand,mano,手,mano,יד
part,partie,Teil,parte,一部,parte,חֵלֶק
place,lieu,Ort,lugar,場所,posto,מקום
case,cas,Fall,caso,場合,caso,מקרה
week,semaine,Woche,semana,週,settimana,שָׁבוּעַ
company,entreprise,Unternehmen,compañía,会社,azienda,חֶברָה
system program,programme système,Systemprogramm,programa del sistema,システムプログラム,Programma di sistema,תוכנית מערכת
question,question,Frage,pregunta,質問,domanda,שְׁאֵלָה
work,travail,arbeiten,trabajar,仕事,lavoro,עֲבוֹדָה
government,gouvernement,Regierung,gobierno,政府,governo,מֶמְשָׁלָה
number,nombre,Nummer,número,番号,numero,מספר
night,nuit,Nacht,noche,夜,notte,לַיְלָה
point,indiquer,Punkt,punto,ポイント,punto,נְקוּדָה
home,maison,heim,hogar,家,casa,בית
water,eau,Wasser,agua,水,acqua,מים
​ room,Chambre,Raum,Cuarto,部屋,Stanza,חדר
mother,mère,Mutter,madre,母親,madre,אִמָא
area,zone,Bereich,área,エリア,la zona,אֵזוֹר
money,argent,Geld,dinero,お金,soldi,כֶּסֶף
story,histoire,Geschichte,historia,話,storia,כַּתָבָה
fact,fait,Tatsache,hecho,事実,fatto,עוּבדָה
month,mois,Monat,mes,月,mese,חוֹדֶשׁ
lot,parcelle,viel,lote,多く,quantità,מִגרָשׁ
right,droite,Rechts,bien,右,Giusto,ימין
study,étude,Studie,estudiar,勉強,studio,לימוד
book,livre,Buch,libro,本,libro,סֵפֶר
eye,œil,Auge,ojo,目,occhio,עַיִן
job,emploi,Arbeit,trabajo,仕事,lavoro,עבודה
word,mot,Wort,palabra,言葉,parola,מִלָה
business,entreprise,Geschäft,negocio,仕事,Attività commerciale,עֵסֶק
issue side,côté émission,Ausgabeseite,lado del lado,問題側,lato problema,גיליון צד
kind,gentil,Art,amable,親切,Tipo,סוג
head,tête,Kopf,cabeza,頭,Testa,רֹאשׁ
house,maison,Haus,casa,家,casa,בַּיִת
service,service,Service,servicio,サービス,servizio,שֵׁרוּת
friend,ami,Freund,amigo,友達,amico,חבר
father,père,Vater,padre,父親,padre,אַבָּא
power,pouvoir,Leistung,fuerza,力,energia,כּוֹחַ
hour,heure,Stunde,hora,時間,ora,שָׁעָה
game,jeu,Spiel,juego,ゲーム,gioco,מִשְׂחָק
line,doubler,Linie,línea,ライン,linea,קַו
end,fin,Ende,fin,終わり,FINE,סוֹף
member,membre,Mitglied,miembro,メンバー,membro,חבר
law,loi,Gesetz,ley,法,legge,חוֹק
car,voiture,Auto,auto,車,auto,אוטו
city,ville,Stadt,ciudad,市,città,עִיר
community,communauté,Gemeinschaft,comunidad,コミュニティ,Comunità,קהילה
name,nom,Name,nombre,名前,nome,שֵׁם
president,président,Präsident,presidente,社長,Presidente,נָשִׂיא
team,équipe,Team,equipo,チーム,squadra,קְבוּצָה
minute,minute,Minute,minuto,分,minuto,דַקָה
idea,idée,Idee,idea,アイデア,idea,רַעְיוֹן
kid,enfant,Kind,niño,子供,ragazzo,יֶלֶד
body,corps,Körper,cuerpo,体,corpo,גוּף
information back,Informations,Informationen zurück,Información de nuevo,情報バック,Informazioni,מידע בחזרה
parent,parent,Elternteil,padre,親,genitore,הוֹרֶה
face,affronter,Gesicht,rostro,顔,viso,פָּנִים
others,autres,Andere,otros,その他,altri,אחרים
level,niveau,Ebene,nivel,レベル,livello,רָמָה
office,bureau,Büro,oficina,オフィス,ufficio,מִשׂרָד
door,porte,Tür,puerta,ドア,porta,דלת
health,santé,Gesundheit,salud,健康,salute,בְּרִיאוּת
person,personne,Person,persona,人,persona,אדם
art,art,Kunst,arte,美術,arte,אומנות
war,guerre,Krieg,guerra,戦争,guerra,מִלחָמָה
history,histoire,Geschichte,historia,歴史,storia,הִיסטוֹרִיָה
party,faire la fête,Party,fiesta,パーティー,festa,מפלגה
result,résultat,Ergebnis,resultado,結果,risultato,תוֹצָאָה
change,changement,ändern,cambiar,変化,modifica,שינוי
morning,matin,Morgen,mañana,朝,Mattina,בוקר
reason,raison,Grund,razón,理由,motivo,סיבה
research,recherche,Forschung,investigación,研究,ricerca,מחקר
girl,fille,Mädchen,chica,女の子,ragazza,ילדה
guy,gars,Kerl,chico,男,tipo,בָּחוּר
moment,moment,Moment,momento,一瞬,momento,רֶגַע
air,air,Luft,aire,空気,aria,אוויר
teacher,professeur,Lehrer,maestro,教師,insegnante,מוֹרֶה
force,forcer,Gewalt,fuerza,力,forza,כּוֹחַ
education,éducation,Ausbildung,educación,教育,formazione scolastica,חינוך
other,autre,andere,otro,他の,altro,אַחֵר
new,nouveau,neu,nuevo,新しい,nuovo,חָדָשׁ
good,bien,Gut,bien,良い,Bene,טוֹב
high,haut,hoch,alto,高い,alto,גָבוֹהַ
old,vieux,alt,viejo,古い,vecchio,ישן
great,super,Großartig,excelente,素晴らしい,Grande,גדול
big,grand,groß,grande,大きい,grande,גָדוֹל
American,Américain,amerikanisch,Americano,アメリカン,americano,אֲמֶרִיקָאִי
small,petit,klein,pequeño,小さい,piccolo,קָטָן
large,grand,groß,grande,大きい,grande,גָדוֹל
national,national,National,nacional,全国,nazionale,לאומי
young,jeune,jung,joven,若い,giovane,צָעִיר
different,différent,anders,diferente,違う,diverso,שונה
black,noir,Schwarz,negro,黒,nero,שָׁחוֹר
long,long,lang,largo,長さ,lungo,ארוך
little,petit,wenig,pequeño,少し,poco,קטן
important,important,wichtig,importante,重要,importante,חָשׁוּב
political,politique,politisch,político,政治的,politico,פּוֹלִיטִי
bad,mauvais,schlecht,malo,悪い,Cattivo,רַע
white,blanc,Weiß,blanco,白,bianco,לבן
real,réel,real,real,本物,vero,אמיתי
best,meilleur,am besten,mejor,最高,migliore,הטוב ביותר
right,droite,Rechts,bien,右,Giusto,ימין
social,sociale,Sozial,social,社交,sociale,חֶברָתִי
only public,seulement public,Nur öffentlich,Solo público,一般の人々だけ,Solo pubblico,רק ציבורי
sure,bien sûr,Sicher,seguro,もちろん,Sicuro,בטוח
low,faible,niedrig,bajo,低い,Basso,נָמוּך
early,tôt,früh,temprano,早い,Presto,מוקדם
able,capable,fähig,capaz,できる,capace,יכול
human,humain,menschlich,humano,人間,umano,בן אנוש
local,locale,lokal,local,地元,Locale,מְקוֹמִי
late,en retard,spät,tarde,遅い,tardi,מאוחר
hard,dur,hart,duro,難しい,difficile,קָשֶׁה
major,majeur,wesentlich,importante,選考科目,maggiore,גדול
better,mieux,besser,mejor,より良い,Meglio,טוב יותר
economic,économique,wirtschaftlich,económico,経済,economico,כַּלְכָּלִי
strong,fort,stark,fuerte,強い,forte,חָזָק
possible,possible,möglich,posible,可能,possibile,אפשרי
whole,entier,ganz,entero,全体,Totale,כֹּל
free,gratuit,frei,gratis,無料,gratuito,חינם
military,militaire,Militär,militar,軍隊,militare,צבאי
TRUE,VRAI,WAHR,VERDADERO,真実,VERO,נָכוֹן
federal,fédéral,Bundes,federal,連邦政府,federale,פדרלי
international,international,International,internacional,国際的,internazionale,בינלאומי
full,complet,voll,lleno,満杯,pieno,מלא
special,spécial,besonders,especial,特別,speciale,מיוחד
easy,facile,einfach,fácil,簡単,facile,קַל
clear,clair,klar,claro,クリア,chiaro,ברור
recent certain,récent certain,kürzlich sicher,reciente cierto,最近の確か,recentemente certo,אחרון וודאי
personal,personnel,persönlich,personal,個人的,personale,אישי
open,ouvrir,offen,abierto,開ける,aprire,לִפְתוֹחַ
red,rouge,Rot,rojo,赤,rosso,אָדוֹם
difficult,difficile,schwierig,difícil,難しい,difficile,קָשֶׁה
available,disponible,verfügbar,disponible,利用可能,disponibile,זמין
likely,probable,wahrscheinlich,probable,おそらく,probabile,סָבִיר
short,court,kurz,corto,短い,corto,קצר
single,célibataire,einzel,soltero,シングル,separare,יחיד
medical,médical,medizinisch,médico,医学,medico,רְפוּאִי
current,actuel,aktuell,actual,現在,attuale,נוֹכְחִי
wrong,faux,falsch,equivocado,間違っている,sbagliato,לא בסדר
private,privé,Privat,privado,プライベート,privato,פְּרָטִי
past,passé,Vergangenheit,pasado,過去,passato,עבר
foreign,étranger,ausländisch,extranjero,外国,straniero,זָר
fine,bien,Bußgeld,bien,大丈夫,Bene,בסדר גמור
common,commun,gemeinsam,común,一般,comune,מְשׁוּתָף
poor,pauvre,arm,pobre,貧しい,povero,עני
natural,naturel,natürlich,natural,自然,naturale,טִבעִי
significant,significatif,bedeutsam,significativo,重要な,significativo,משמעותי
similar,similaire,ähnlich,similar,似ている,simile,דוֹמֶה
hot,chaud,heiß,caliente,熱い,caldo,חַם
dead,mort,tot,muerto,死んだ,morto,מֵת
central,central,zentral,central,中央,centrale,מֶרכָּזִי
happy serious,heureux sérieux,glücklich ernst,Feliz serio,幸せな真面目,felice serio,שמח רציני
ready,prêt,bereit,listo,準備ができて,pronto,מוּכָן
simple,simple,einfach,simple,単純,semplice,פָּשׁוּט
left,gauche,links,izquierda,左,Sinistra,שמאלה
physical,physique,physisch,físico,物理的な,fisico,גוּפָנִי
general,général,allgemein,general,一般的な,generale,כללי
environmental,environnement,Umwelt,ambiental,環境,ambientale,סְבִיבָתִי
financial,financier,finanziell,financiero,金融,finanziario,כַּספִּי
blue,bleu,Blau,azul,青,blu,כְּחוֹל
democratic,démocratique,demokratisch,democrático,民主的,democratico,דֵמוֹקרָטִי
dark,sombre,dunkel,oscuro,暗い,buio,אפל
various,divers,verschieden,varios,様々な,vari,שׁוֹנִים
entire,entier,gesamte,completo,全体,tutto,שלם
close,fermer,schließen,cerca,近い,vicino,סגור
legal,légal,legal,legal,法律上の,legale,משפטי
religious,religieux,religiös,religioso,宗教的,religioso,דָתִי
cold,froid,kalt,frío,寒い,Freddo,קַר
final,final,Finale,final,最後の,finale,סופי
main,principal,hauptsächlich,principal,主要,principale,רָאשִׁי
green,vert,Grün,verde,緑,verde,ירוק
nice,bon,Hübsch,lindo,ニース,Carino,נֶחְמָד
huge,énorme,riesig,enorme,巨大な,Enorme,עָצוּם
popular,populaire,beliebt,popular,人気のある,popolare,פופולרי
traditional,traditionnel,traditionell,tradicional,伝統的,tradizionale,מָסוֹרתִי
cultural,culturel,kulturell,cultural,文化,culturale,תַרְבּוּתִי
