en,fr,de,es,ja,it,he
Crab,Crabe,Krabbe,Cangrejo,カニ,Granchio,סרטן
Crane Fly,Mouche de grue,Kranfliege,Chorro de grúa,クレーンフライ,Crane Fly,זבוב מנוף
Cricket,Criquet,Kricket,Grillo,クリケット,Cricket,קרִיקֶט
Crocodile,Crocodile,Krokodil,Cocodrilo,クロコダイル,Coccodrillo,תַנִין
Crow,Corbeau,Krähe,Cuervo,カラス,Corvo,עורב
Cuckoo,Coucou,Kuckuck,Cuco,カッコウ,Cuculo,קוּקִיָה
Deer,Cerf,Reh,Ciervo,鹿,Cervo,צְבִי
Dinosaur,Dinosaure,Dinosaurier,Dinosaurio,恐竜,Dinosauro,דינוזאור
Dog,Chien,Hund,Perro,犬,Cane,כֶּלֶב
Dolphin,Dauphin,Delfin,Delfín,イルカ,Delfino,דולפין
Donkey,Âne,Esel,Burro,ロバ,Asino,חמור
Dove,Colombe,Taube,Paloma,鳩,Colomba,יוֹנָה
Dragonfly,Libellule,Libelle,Libélula,トンボ,Libellula,שַׁפִּירִית
Duck,Canard,Ente,Pato,アヒル,Anatra,ברווז
Eagle,Aigle,Adler,Águila,鷲,Aquila,נשר
Eel,Anguille,Aal,Anguila,うなぎ,Anguilla,צְלוֹפָּח
Elephant,Éléphant,Elefant,Elefante,象,Elefante,פיל
Emu,Émeu,Emu,Emú,エミュー,Emu,אֶמוּ
Falcon,Faucon,Falke,Halcón,ファルコン,Falco,בַּז
Ferret,Furet,Frettchen,Hurón,フェレット,Furetto,סַמוּר
Finch,Bouvreuil,Fink,Pinzón,フィンチ,Finch,פָּרוּשׁ
Fish,Poisson,Fisch,Pez,魚,Pescare,דג
Flamingo,Flamant,Flamingo,Flamenco,フラミンゴ,Fenicottero,פלָמִינגוֹ
Flea,Puce,Floh,Pulga,ノミ,Pulce,פַּרעוֹשׁ
Fly,Voler,Fliege,Volar,飛ぶ,Volare,"לטוס, זבוב"
Fox,Renard,Fuchs,Zorro,キツネ,Volpe,שׁוּעָל
Frog,Grenouille,Frosch,Rana,蛙,Rana,צְפַרְדֵעַ
Goat,Chèvre,Ziege,Cabra,ヤギ,Capra,עֵז
Goose,Oie,Gans,Ganso,ガチョウ,Oca,אווז
Gopher,Gopher,Gopher,Ardilla de tierra,Gopher,Gopher,סְנָאִי הָעַרָבָה
Gorilla,Gorille,Gorilla,Gorila,ゴリラ,Gorilla,גוֹרִילָה
Guinea Pig,Cochon d'Inde,Meerschweinchen,Conejillo de indias,モルモット,Porcellino d'India,חֲזִיר יָם
Hamster,Hamster,Hamster,Hámster,ハムスター,Criceto,אוֹגֵר
Hare,lièvre,Hase,liebre,野ウサギ,lepre,אַרנֶבֶת
Hawk,Faucon,Falke,Halcón,鷹,Falco,נֵץ
Hippopotamus,Hippopotame,Nilpferd,Hipopótamo,カバ,Ippopotamo,סוּס הַיְאוֹר
Horse,Cheval,Pferd,Caballo,馬,Cavallo,סוּס
Humpback Whale,Baleine à bosse,Buckelwal,Ballena jorobada,ザトウクジラ,Megattera,לווייתן גדול סנפיר
Husky,Rauque,Heiser,Fornido,ハスキー,Husky,צָרוּד
Iguana,Iguane,Leguan,Iguana,イグアナ,Iguana,איגואנה
Impala,Impala,Impala,Impala,インパラ,Impala,אימפלה
Kangaroo,Kangourou,Känguru,Canguro,カンガルー,Canguro,קנגרו
Lemur,Maki,Lemur,Lémur,キツネザル,Lemure,לֵמוּר
Leopard,Léopard,Leopard,Leopardo,ヒョウ,Leopardo,נָמֵר
Lion,Lion,Löwe,León,ライオン,Leone,אַריֵה
Lizard,Lézard,Eidechse,Lagarto,トカゲ,Lucertola,לְטָאָה
Llama,Lama,Lama,Llama,ラマ,Lama,לָאמָה
Lobster,Homard,Hummer,Langosta,ロブスター,Aragosta,לובסטר
Margay,Margay,Margay,Margay,マーガイ,Margay,מרגיי
Monitor lizard,Surveiller le lézard,Waran,Monitorear lagarto,トカゲを監視します,Monitorare la lucertola,לטאת מסך
Monkey,Singe,Affe,Mono,猿,Scimmia,קוֹף
Moose,Élan,Elch,Alce,ムース,Alce,מוּז
Mosquito,Moustique,Moskito,Mosquito,蚊,Zanzara,יַתוּשׁ
Moth,Papillon de nuit,Motte,Polilla,蛾,Falena,עָשׁ
Mountain Zebra,Zèbre de montagne,Bergzebra,Cebra de montaña,山のゼブラ,Zebra di montagna,זברה הר
Mouse,Souris,Maus,Ratón,ねずみ,Topo,עכבר
Mule,Mule,Maultier,Mula,ラバ,Mulo,פֶּרֶד
Octopus,Pieuvre,Oktopus,Pulpo,タコ,Polpo,תמנון
Orca,Orque,Orca,Orca,orca,Orca,אורקה
Ostrich,Autruche,Strauß,Avestruz,ダチョウ,Struzzo,יען
Otter,Loutre,Otter,Nutria,カワウソ,Lontra,לוּטרָה
Owl,Hibou,Eule,Búho,フクロウ,Gufo,יַנשׁוּף
Ox,Bœuf,Ochse,Buey,牛,Bue,שׁוֹר
Oyster,huître,Auster,ostra,カキ,ostrica,צִדפָּה
Panda,Panda,Panda,Panda,パンダ,Panda,פנדה
Parrot,Perroquet,Papagei,Loro,オウム,Pappagallo,תוּכִּי
Peacock,Paon,Pfau,Pavo real,孔雀,Pavone,טַוָס
Pelican,Pélican,Pelikan,Pelícano,ペリカン,Pellicano,שַׁקנַאי
Penguin,manchot,Pinguin,Pingüino,ペンギン,Pinguino,פינגווין
Perch,Perche,Barsch,Perca,止まり木,Pertica,אוֹקוּנוֹס
Pheasant,Faisan,Fasan,Faisán,キジ,Fagiano,פַּסיוֹן
Pig,Cochon,Schwein,Cerdo,豚,Maiale,חֲזִיר
Pigeon,Pigeon,Taube,Paloma,鳩,Piccione,יוֹנָה
Polar bear,Ours polaire,Eisbär,Oso polar,ホッキョクグマ,Orso polare,דוב קוטב
Porcupine,Porc-épic,Stachelschwein,Puerco espín,ヤマアラシ,Porcospino,דָרְבָּן
Quagga,Quagga,Quagga,Quagga,quagga,Quagga,קוואגגה
Rabbit,Lapin,Kaninchen,Conejo,うさぎ,Coniglio,ארנב
Raccoon,Raton laveur,Waschbär,Mapache,ラクーン,Procione,דביבון
Rat,Rat,Ratte,Rata,ねずみ,Ratto,עכברוש
Rattlesnake,Serpent à sonnette,Klapperschlange,Serpiente de cascabel,ガラガラヘビ,Serpente a sonagli,אֶפעֶה
Red Wolf,Loup rouge,roter Wolf,Lobo rojo,レッドウルフ,lupo Rosso,זאב אדום
Rooster,Coq,Hahn,Gallo,ルースター,Gallo,תַרְנְגוֹל
Seal,Joint,Siegel,Sello,シール,Foca,חותם
Sheep,Mouton,Schaf,Oveja,羊,Pecora,כבשים
Skunk,Moufette,Skunk,Zorrillo,スカンク,Puzzola,בּוּאֵשׁ
Sloth,Paresseux,Faultier,Ranura,怠惰,Pigrizia,עַצלוּת
Snail,Escargot,Schnecke,Caracol,カタツムリ,Lumaca,שַׁבְּלוּל
Snake,Serpent,Schlange,Serpiente,蛇,Serpente,נָחָשׁ
Spider,Araignée,Spinne,Araña,クモ,Ragno,עַכָּבִישׁ
Tiger,Tigre,Tiger,Tigre,虎,Tigre,נָמֵר
Whale,Baleine,Wal,Ballena,鯨,Balena,לוויתן
Wolf,Loup,Wolf,Lobo,狼,Lupo,זְאֵב
Zebra,Zèbre,Zebra,Cebra,シマウマ,Zebra,זֶבּרָה
