en,fr,de,es,ja,it,he
around,autour,um,alrededor,その周り,in giro,סְבִיב
arrive,arriver,ankommen,llegar,到着,arrivare,לְהַגִיעַ
art,art,Kunst,arte,美術,arte,אומנות
article,article,Artikel,artículo,記事,articolo,מאמר
artist,artiste,Künstler,artista,アーティスト,artista,אמן
as,comme,als,como,として,COME,כפי ש
ask,demander,fragen,preguntar,聞く,chiedere,לִשְׁאוֹל
assume,supposer,annehmen,asumir,仮定する,assumere,לְהַנִיחַ
at,à,bei,en,で,A,בְּ-
attack,attaque,Attacke,ataque,攻撃,attacco,לִתְקוֹף
attention,attention,Aufmerksamkeit,atención,注意,Attenzione,תשומת הלב
attorney,avocat,Rechtsanwalt,abogado,弁護士,avvocato,"עו""ד"
audience,public,Publikum,audiencia,観客,pubblico,קהל
author,auteur,Autor,autor,著者,autore,מְחַבֵּר
authority,autorité,Behörde,autoridad,権限,autorità,רְשׁוּת
available,disponible,verfügbar,disponible,利用可能,disponibile,זמין
avoid,éviter,vermeiden,evitar,避ける,Evitare,לְהִמָנַע
away,loin,weg,lejos,離れて,lontano,רָחוֹק
baby,bébé,Baby,bebé,赤ちゃん,Bambino,תִינוֹק
back,dos,zurück,atrás,戻る,Indietro,חזור
bad,mauvais,schlecht,malo,悪い,Cattivo,רַע
bag,sac,Tasche,bolsa,バッグ,borsa,תיק
ball,balle,Ball,pelota,ボール,palla,כַּדוּר
bank,banque,Bank,banco,銀行,banca,בַּנק
bar,bar,Bar,bar,バー,sbarra,בַּר
base,base,Base,base,ベース,base,בסיס
be,être,Sei,ser,なれ,Essere,לִהיוֹת
beat,battre,schlagen,derrotar,ビート,colpo,להיות ב
beautiful,beau,Schön,hermoso,美しい,Bellissimo,יפה
because,parce que,Weil,porque,なぜなら,Perché,כי
become,devenir,werden,convertirse,なる,diventare,הפכו
bed,lit,Bett,cama,ベッド,letto,מיטה
before,avant,Vor,antes,前に,Prima,לפני
begin,commencer,beginnen,comenzar,始める,inizio,התחל
behavior,comportement,Verhalten,comportamiento,行動,comportamento,התנהגות
behind,derrière,hinter,detrás,後ろに,dietro,מֵאָחוֹר
believe,croire,glauben,creer,信じる,credere,לְהֶאֱמִין
benefit,avantage,Nutzen,beneficio,利点,beneficio,תועלת
best,meilleur,am besten,mejor,最高,migliore,הטוב ביותר
better,mieux,besser,mejor,より良い,Meglio,טוב יותר
between,entre,zwischen,entre,間,fra,בֵּין
beyond,au-delà,darüber hinaus,más allá de,超えて,al di là,מעבר
big,grand,groß,grande,大きい,grande,גָדוֹל
bill,facture,Rechnung,factura,請求書,conto,שטר כסף
billion,milliard,Milliarde,mil millones,十億,miliardi,מיליארד
bit,peu,bisschen,poco,少し,morso,קצת
black,noir,Schwarz,negro,黒,nero,שָׁחוֹר
blood,sang,Blut,sangre,血,sangue,דָם
blue,bleu,Blau,azul,青,blu,כְּחוֹל
board,conseil,Planke,junta,ボード,asse,גלשן
body,corps,Körper,cuerpo,体,corpo,גוּף
book,livre,Buch,libro,本,libro,סֵפֶר
born,né,geboren,nacido,生まれる,nato,נוֹלָד
both,les deux,beide,ambos,両方,Entrambi,שניהם
box,boîte,Kasten,caja,箱,scatola,קופסא
boy,garçon,Junge,chico,男の子,ragazzo,יֶלֶד
break,casser,brechen,romper,壊す,rottura,לשבור
bring,apporter,bringen,traer,持ってくる,Portare,לְהָבִיא
brother,frère,Bruder,hermano,兄弟,fratello,אָח
budget,budget,Budget,presupuesto,予算,budget,תַקצִיב
build,construire,bauen,construir,建てる,costruire,לִבנוֹת
building,bâtiment,Gebäude,edificio,建物,edificio,בִּניָן
business,entreprise,Geschäft,negocio,仕事,Attività commerciale,עֵסֶק
but,mais,Aber,pero,しかし,Ma,אבל
buy,acheter,kaufen,comprar,買う,acquistare,לִקְנוֹת
by,par,von,por,による,di,על ידי
call,appel,Anruf,llamar,電話,chiamata,שִׂיחָה
camera,caméra,Kamera,cámara,カメラ,telecamera,מַצלֵמָה
campaign,campagne,Kampagne,campaña,運動,campagna,קמפיין
can,peut,dürfen,poder,できる,Potere,פחית
cancer,cancer,Krebs,cáncer,癌,cancro,מחלת הסרטן
candidate,candidat,Kandidat,candidato,候補者,candidato,מוּעֲמָד
capital,capital,Hauptstadt,capital,資本,capitale,עיר בירה
car,voiture,Auto,auto,車,auto,אוטו
card,carte,Karte,tarjeta,カード,carta,כַּרְטִיס
care,se soucier,Pflege,cuidado,お手入れ,cura,לְטַפֵּל
career,carrière,Karriere,carrera,キャリア,carriera,קריירה
carry,porter,tragen,llevar,運ぶ,trasportare,לשאת
case,cas,Fall,caso,場合,caso,מקרה
catch,attraper,fangen,atrapar,キャッチ,presa,לתפוס
cause,cause,Ursache,causa,原因,causa,גורם
cell,cellule,Zelle,celúla,細胞,cellula,תָא
center,centre,Center,centro,中心,centro,מֶרְכָּז
central,central,zentral,central,中央,centrale,מֶרכָּזִי
century,siècle,Jahrhundert,siglo,世紀,secolo,מֵאָה
certain,certain,bestimmt,cierto,ある,certo,מסוים
certainly,certainement,sicherlich,ciertamente,確かに,certamente,בְּהֶחלֵט
chair,chaise,Stuhl,silla,椅子,sedia,כִּסֵא
challenge,défi,Herausforderung,desafío,チャレンジ,sfida,אתגר
chance,chance,Chance,oportunidad,チャンス,opportunità,הִזדַמְנוּת
change,changement,ändern,cambiar,変化,modifica,שינוי
character,personnage,Charakter,personaje,キャラクター,carattere,אופי
charge,charge,Aufladung,cargar,充電,carica,לחייב
check,vérifier,überprüfen,controlar,チェック,controllo,חשבון
child,enfant,Kind,niño,子供,bambino,יֶלֶד
choice,choix,Auswahl,elección,選択,scelta,בְּחִירָה
choose,choisir,wählen,elegir,選ぶ,scegliere,בחר
church,église,Kirche,iglesia,教会,Chiesa,כְּנֵסִיָה
citizen,citoyen,Bürger,ciudadano,市民,cittadino,אֶזרָח
city,ville,Stadt,ciudad,市,città,עִיר
civil,civil,bürgerlich,civil,市民,civile,אֶזרָחִי
claim,réclamer,beanspruchen,afirmar,請求,reclamo,תְבִיעָה
class,classe,Klasse,clase,クラス,classe,מעמד
clear,clair,klar,claro,クリア,chiaro,ברור
clearly,clairement,deutlich,claramente,明らかに,chiaramente,בְּבִירוּר
close,fermer,schließen,cerca,近い,vicino,סגור
coach,entraîneur,Trainer,entrenador,コーチ,allenatore,מְאַמֵן
cold,froid,kalt,frío,寒い,Freddo,קַר
collection,collection,Sammlung,recopilación,コレクション,collezione,אוסף
college,collège,Hochschule,colega,カレッジ,Università,מִכלָלָה
color,couleur,Farbe,color,色,colore,צֶבַע
come,viens,kommen,venir,来る,Venire,לבוא
commercial,commercial,kommerziell,comercial,コマーシャル,commerciale,מִסְחָרִי
common,commun,gemeinsam,común,一般,comune,מְשׁוּתָף
community,communauté,Gemeinschaft,comunidad,コミュニティ,Comunità,קהילה
company,entreprise,Unternehmen,compañía,会社,azienda,חֶברָה
compare,comparer,vergleichen,comparar,比較する,confrontare,לְהַשְׁווֹת
computer,ordinateur,Computer,computadora,コンピューター,computer,מַחשֵׁב
concern,préoccupation,Sorge,inquietud,懸念,preoccupazione,דְאָגָה
condition,condition,Zustand,condición,状態,condizione,מַצָב
conference,conférence,Konferenz,conferencia,会議,conferenza,וְעִידָה
Congress,Congrès,Kongress,Congreso,会議,Congresso,קוֹנגרֶס
consider,considérer,halten,considerar,考慮する,prendere in considerazione,לשקול
consumer,consommateur,Verbraucher,consumidor,消費者,consumatore,צרכן
contain,contenir,enthalten,contener,含む,contenere,לְהַכִיל
continue,continuer,weitermachen,continuar,続く,Continua,לְהַמשִׁיך
control,contrôle,Kontrolle,control,コントロール,controllo,לִשְׁלוֹט
cost,coût,kosten,costo,料金,costo,עֲלוּת
could,pourrait,könnte,podría,できた,Potevo,הָיָה יָכוֹל
country,pays,Land,país,国,Paese,מדינה
couple,couple,Paar,pareja,カップル,coppia,זוּג
course,cours,Kurs,curso,コース,corso,קוּרס
court,tribunal,Gericht,corte,裁判所,Tribunale,בית משפט
cover,couverture,Abdeckung,cubrir,カバー,copertina,כיסוי
create,créer,erstellen,crear,作成する,creare,לִיצוֹר
crime,crime,Verbrechen,delito,犯罪,crimine,פֶּשַׁע
cultural,culturel,kulturell,cultural,文化,culturale,תַרְבּוּתִי
culture,culture,Kultur,cultura,文化,cultura,תַרְבּוּת
cup,tasse,Tasse,taza,カップ,tazza,גָבִיעַ
current,actuel,aktuell,actual,現在,attuale,נוֹכְחִי
customer,client,Kunde,cliente,お客様,cliente,צרכן
cut,couper,schneiden,cortar,カット,taglio,גזירה
dark,sombre,dunkel,oscuro,暗い,buio,אפל
data,données,Daten,datos,データ,dati,נתונים
daughter,fille,Tochter,hija,娘,figlia,בַּת
day,jour,Tag,día,日,giorno,יְוֹם
dead,mort,tot,muerto,死んだ,morto,מֵת
deal,accord,handeln,trato,取引,Affare,עִסקָה
death,la mort,Tod,muerte,死,morte,מוות
debate,débat,Debatte,debate,議論,discussione,עימות
decade,décennie,Jahrzehnt,década,十年,decennio,עָשׂוֹר
decide,décider,entscheiden,decidir,決める,decidere,לְהַחלִיט
decision,décision,Entscheidung,decisión,決断,decisione,הַחְלָטָה
deep,profond,tief,profundo,深い,profondo,עָמוֹק
defense,la défense,Verteidigung,defensa,防衛,difesa,הֲגָנָה
degree,degré,Grad,grado,程度,grado,תוֹאַר
Democrat,Démocrate,Demokrat,Demócrata,民主党,Democratico,דֵמוֹקרָט
democratic,démocratique,demokratisch,democrático,民主的,democratico,דֵמוֹקרָטִי
describe,décrire,beschreiben,describir,説明する,descrivere,לְתַאֵר
design,conception,Design,diseño,デザイン,progetto,לְעַצֵב
despite,malgré,trotz,a pesar de,にもかかわらず,nonostante,למרות
detail,détail,Detail,detalle,詳細,dettaglio,פרט
determine,déterminer,bestimmen,determinar,決定する,determinare,לקבוע
develop,développer,entwickeln,desarrollar,開発する,sviluppare,לְפַתֵחַ
development,développement,Entwicklung,desarrollo,発達,sviluppo,התפתחות
die,mourir,sterben,morir,死ぬ,morire,לָמוּת
difference,différence,Unterschied,diferencia,違い,differenza,הֶבדֵל
different,différent,anders,diferente,違う,diverso,שונה
difficult,difficile,schwierig,difícil,難しい,difficile,קָשֶׁה
dinner,dîner,Abendessen,cena,夕食,cena,אֲרוּחַת עֶרֶב
direction,direction,Richtung,dirección,方向,direzione,כיוון
director,directeur,Direktor,director,監督,direttore,מְנַהֵל
discover,découvrir,entdecken,descubrir,発見する,scoprire,לְגַלוֹת
discuss,discuter,diskutieren,conversar,話し合う,discutere,לָדוּן
discussion,discussion,Diskussion,discusión,議論,discussione,דִיוּן
disease,maladie,Krankheit,enfermedad,病気,malattia,מַחֲלָה
do,faire,Tun,hacer,する,Fare,לַעֲשׂוֹת
doctor,médecin,Arzt,doctor,医者,medico,דוֹקטוֹר
dog,chien,Hund,perro,犬,cane,כֶּלֶב
door,porte,Tür,puerta,ドア,porta,דלת
down,vers le bas,runter,abajo,下,giù,מטה
draw,dessiner,ziehen,dibujar,描く,disegno,לצייר
dream,rêve,Traum,sueño,夢,sogno,חולם
drive,conduire,fahren,conducir,ドライブ,guidare,נהיגה
drop,baisse,fallen,gota,落とす,gocciolare,יְרִידָה
drug,médicament,Arzneimittel,droga,薬,farmaco,תְרוּפָה
during,pendant,während,durante,その間,durante,בְּמַהֲלָך
each,chaque,jede,cada,それぞれ,ogni,כל אחד
early,tôt,früh,temprano,早い,Presto,מוקדם
east,est,Ost,este,東,est,מזרח
easy,facile,einfach,fácil,簡単,facile,קַל
eat,manger,essen,comer,食べる,mangiare,לאכול
economic,économique,wirtschaftlich,económico,経済,economico,כַּלְכָּלִי
economy,économie,Wirtschaft,economía,経済,economia,כַּלְכָּלָה
edge,bord,Rand,borde,角,bordo,קָצֶה
education,éducation,Ausbildung,educación,教育,formazione scolastica,חינוך
effect,effet,Wirkung,efecto,効果,effetto,השפעה
effort,effort,Bemühung,esfuerzo,努力,sforzo,מַאֲמָץ
eight,huit,acht,ocho,八,otto,שמונה
either,soit,entweder,cualquiera,どちらか,O,אוֹ
election,élection,Wahl,elección,選挙,elezione,בְּחִירָה
else,autre,anders,demás,それ以外,altro,אַחֵר
employee,employé,Mitarbeiter,empleado,従業員,dipendente,עוֹבֵד
end,fin,Ende,fin,終わり,FINE,סוֹף
energy,énergie,Energie,energía,エネルギー,energia,אֵנֶרְגִיָה
enjoy,apprécier,genießen,disfrutar,楽しむ,Godere,תהנה
enough,assez,genug,suficiente,十分,Abbastanza,מספיק
enter,entrer,eingeben,ingresar,入力,accedere,להיכנס
entire,entier,gesamte,completo,全体,tutto,שלם
environment,environnement,Umfeld,ambiente,環境,ambiente,סביבה
environmental,environnement,Umwelt,ambiental,環境,ambientale,סְבִיבָתִי
especially,en particulier,besonders,especialmente,特に,particolarmente,במיוחד
establish,établir,gründen,establecer,確立する,stabilire,לְהַקִים
even,même,sogar,incluso,平,Anche,אֲפִילוּ
evening,soirée,Abend,noche,夕方,sera,עֶרֶב
event,événement,Ereignis,evento,イベント,evento,מִקרֶה
ever,jamais,immer,alguna vez,これまで,mai,אֵיִ פַּעַם
every,chaque,jeden,cada,毎,ogni,כֹּל
everybody,tout le monde,alle,todos,みんな,tutti,כולם
everyone,tout le monde,alle,todos,みんな,tutti,כל אחד
everything,tout,alles,todo,すべて,qualunque cosa,הכל
evidence,preuve,Beweis,evidencia,証拠,prova,עֵדוּת
exactly,exactement,genau,exactamente,その通り,esattamente,בְּדִיוּק
example,exemple,Beispiel,ejemplo,例,esempio,דוגמא
executive,exécutif,Executive,ejecutivo,エグゼクティブ,esecutivo,מְנַהֵל
exist,exister,existieren,existir,存在する,esistere,קיימים
expect,attendre,erwarten,esperar,期待する,aspettarsi,לְצַפּוֹת
experience,expérience,Erfahrung,experiencia,経験,esperienza,ניסיון
expert,expert,Experte,experto,専門家,esperto,מוּמחֶה
explain,expliquer,erklären,explicar,説明する,spiegare,להסביר
eye,œil,Auge,ojo,目,occhio,עַיִן
face,affronter,Gesicht,rostro,顔,viso,פָּנִים
fact,fait,Tatsache,hecho,事実,fatto,עוּבדָה
factor,facteur,Faktor,factor,要素,fattore,גורם
fail,échouer,scheitern,fallar,失敗,fallire,לְהִכָּשֵׁל
fall,automne,fallen,caer,秋,autunno,נפילה
family,famille,Familie,familia,家族,famiglia,מִשׁפָּחָה
far,loin,weit,lejos,遠い,lontano,רָחוֹק
fast,rapide,schnell,rápido,速い,veloce,מָהִיר
father,père,Vater,padre,父親,padre,אַבָּא
fear,peur,Furcht,miedo,恐れ,Paura,פַּחַד
federal,fédéral,Bundes,federal,連邦政府,federale,פדרלי
feel,sentir,fühlen,sentir,感じる,Tatto,להרגיש
feeling,sentiment,Gefühl,sentimiento,フィーリング,sensazione,מַרגִישׁ
few,peu,wenige,pocos,少し,pochi,מְעַטִים
field,champ,Feld,campo,分野,campo,שדה
fight,lutte,kämpfen,luchar,戦い,combattimento,מַאֲבָק
figure,chiffre,Figur,cifra,形,figura,דמות
fill,remplir,füllen,llenar,埋める,riempire,למלא
film,film,Film,película,映画,film,סרט צילום
final,final,Finale,final,最後の,finale,סופי
finally,enfin,Endlich,finalmente,ついに,Finalmente,סוף כל סוף
financial,financier,finanziell,financiero,金融,finanziario,כַּספִּי
find,trouver,finden,encontrar,探す,Trovare,למצוא
fine,bien,Bußgeld,bien,大丈夫,Bene,בסדר גמור
finger,doigt,Finger,dedo,指,dito,אֶצבַּע
finish,finition,beenden,finalizar,仕上げる,fine,סיים
fire,feu,Feuer,fuego,火,fuoco,אֵשׁ
firm,ferme,Firma,firme,固い,ditta,מוּצָק
first,d'abord,Erste,primero,初め,Primo,ראשון
fish,poisson,Fisch,pez,魚,pescare,דג
five,cinq,fünf,cinco,五,cinque,חָמֵשׁ
floor,sol,Boden,piso,床,pavimento,קוֹמָה
fly,voler,Fliege,volar,飛ぶ,volare,"לטוס, זבוב"
focus,se concentrer,Fokus,enfocar,集中,messa a fuoco,מוֹקֵד
follow,suivre,folgen,seguir,フォローする,seguire,לעקוב אחר
food,nourriture,Essen,alimento,食べ物,cibo,מזון
foot,pied,Fuß,pie,足,piede,כף רגל
for,pour,für,para,のために,per,ל
force,forcer,Gewalt,fuerza,力,forza,כּוֹחַ
foreign,étranger,ausländisch,extranjero,外国,straniero,זָר
forget,oublier,vergessen,olvidar,忘れる,dimenticare,לשכוח
form,formulaire,bilden,forma,形状,modulo,טופס
former,ancien,ehemalig,anterior,前者,ex,לְשֶׁעָבַר
forward,avant,nach vorne,adelante,フォワード,inoltrare,קָדִימָה
four,quatre,vier,cuatro,四,quattro,ארבע
free,gratuit,frei,gratis,無料,gratuito,חינם
friend,ami,Freund,amigo,友達,amico,חבר
from,depuis,aus,de,から,da,מ
front,devant,Vorderseite,frente,フロント,davanti,חֲזִית
full,complet,voll,lleno,満杯,pieno,מלא
fund,fonds,Fonds,fondo,基金,finanziare,קֶרֶן
future,avenir,Zukunft,futuro,未来,futuro,עתיד
game,jeu,Spiel,juego,ゲーム,gioco,מִשְׂחָק
garden,jardin,Garten,jardín,庭,giardino,גן
gas,gaz,Gas,gas,ガス,gas,גַז
general,général,allgemein,general,一般的な,generale,כללי
generation,génération,Generation,generación,世代,generazione,דוֹר
get,obtenir,erhalten,conseguir,得る,Ottenere,לקבל
girl,fille,Mädchen,chica,女の子,ragazza,ילדה
give,donner,geben,dar,与える,Dare,לָתֵת
glass,verre,Glas,vaso,ガラス,bicchiere,זכוכית
go,aller,gehen,ir,行く,andare,ללכת
goal,but,Ziel,meta,ゴール,obiettivo,מטרה
good,bien,Gut,bien,良い,Bene,טוֹב
government,gouvernement,Regierung,gobierno,政府,governo,מֶמְשָׁלָה
great,super,Großartig,excelente,素晴らしい,Grande,גדול
green,vert,Grün,verde,緑,verde,ירוק
ground,sol,Boden,suelo,地面,terra,"קרקע, אדמה"
group,groupe,Gruppe,grupo,グループ,gruppo,קְבוּצָה
grow,grandir,wachsen,crecer,育つ,crescere,לגדול
growth,croissance,Wachstum,crecimiento,成長,crescita,צְמִיחָה
guess,deviner,erraten,adivinar,推測,Indovinare,לְנַחֵשׁ
gun,pistolet,Pistole,pistola,銃,pistola,אֶקְדָח
guy,gars,Kerl,chico,男,tipo,בָּחוּר
hair,cheveux,Haar,cabello,髪,capelli,שיער
half,moitié,Hälfte,medio,半分,metà,חֲצִי
hand,main,Hand,mano,手,mano,יד
hang,accrocher,aufhängen,colgar,下がる,appendere,לִתְלוֹת
happen,arriver,passieren,suceder,起こる,accadere,לִקְרוֹת
happy,heureux,Glücklich,feliz,ハッピー,Contento,שַׂמֵחַ
hard,dur,hart,duro,難しい,difficile,קָשֶׁה
have,avoir,haben,tener,持っている,Avere,יש
he,il,Er,él,彼,Lui,הוא
head,tête,Kopf,cabeza,頭,Testa,רֹאשׁ
health,santé,Gesundheit,salud,健康,salute,בְּרִיאוּת
hear,entendre,hören,escuchar,聞く,ascoltare,לִשְׁמוֹעַ
heart,cœur,Herz,corazón,心臓,cuore,לֵב
heat,chaleur,Hitze,calor,熱,Calore,חוֹם
heavy,lourd,schwer,pesado,重い,pesante,כָּבֵד
help,aide,helfen,ayuda,ヘルプ,aiuto,עֶזרָה
her,son,ihr,su,彼女,suo,שֶׁלָה
here,ici,Hier,aquí,ここ,Qui,כאן
herself,se,Sie selber,sí misma,彼女自身,se stessa,עַצמָה
high,haut,hoch,alto,高い,alto,גָבוֹהַ
him,lui,ihn,a él,彼,lui,אוֹתוֹ
himself,lui-même,sich selbst,él mismo,彼自身,lui stesso,עַצמוֹ
his,son,sein,su,彼の,il suo,שֶׁלוֹ
history,histoire,Geschichte,historia,歴史,storia,הִיסטוֹרִיָה
hit,frapper,Schlag,golpear,打つ,colpo,מכה
hold,prise,halten,sostener,所有,Presa,לְהַחזִיק
home,maison,heim,hogar,家,casa,בית
hope,espoir,Hoffnung,esperanza,希望,Speranza,לְקַווֹת
hospital,hôpital,Krankenhaus,hospital,病院,Ospedale,בית חולים
hot,chaud,heiß,caliente,熱い,caldo,חַם
hotel,hôtel,Hotel,hotel,ホテル,Hotel,מלון
hour,heure,Stunde,hora,時間,ora,שָׁעָה
house,maison,Haus,casa,家,casa,בַּיִת
how,comment,Wie,cómo,どうやって,Come,אֵיך
however,cependant,Jedoch,sin embargo,しかし,Tuttavia,למרות זאת
huge,énorme,riesig,enorme,巨大な,Enorme,עָצוּם
human,humain,menschlich,humano,人間,umano,בן אנוש
hundred,cent,hundert,centenar,百,centinaio,מֵאָה
husband,mari,Ehemann,marido,夫,marito,בַּעַל
I,je,ICH,I,私,IO,אני
idea,idée,Idee,idea,アイデア,idea,רַעְיוֹן
identify,identifier,identifizieren,identificar,識別する,identificare,לזהות
if,si,Wenn,si,もし,Se,אם
image,image,Bild,imagen,画像,Immagine,תמונה
imagine,imaginer,vorstellen,imaginar,想像する,immaginare,לדמיין
impact,impact,Auswirkungen,impacto,インパクト,impatto,פְּגִיעָה
important,important,wichtig,importante,重要,importante,חָשׁוּב
improve,améliorer,verbessern,mejorar,改善する,migliorare,לְשַׁפֵּר
in,dans,In,en,で,In,ב
include,inclure,enthalten,incluir,含む,includere,לִכלוֹל
including,y compris,einschließlich,incluido,含む,Compreso,לְרַבּוֹת
increase,augmenter,Zunahme,aumentar,増加,aumento,להגביר
indeed,en effet,In der Tat,en efecto,確かに,Infatti,אכן
indicate,indiquer,angeben,indicar,示す,indicare,מצביע
individual,individuel,Individuell,individual,個人,individuale,אִישִׁי
industry,industrie,Industrie,industria,業界,industria,תַעֲשִׂיָה
information,information,Information,información,情報,informazione,מֵידָע
inside,à l'intérieur,innen,adentro,内部,dentro,בְּתוֹך
instead,plutôt,stattdessen,en cambio,その代わり,Invece,במקום זאת
institution,institution,Institution,institución,機関,istituzione,מוֹסָד
interest,intérêt,Interesse,interés,興味,interesse,ריבית
interesting,intéressant,interessant,interesante,面白い,interessante,מעניין
international,international,International,internacional,国際的,internazionale,בינלאומי
interview,entretien,Interview,entrevista,インタビュー,colloquio,רֵאָיוֹן
into,dans,hinein,en,の中へ,in,לְתוֹך
investment,investissement,Investition,inversión,投資,investimento,הַשׁקָעָה
involve,impliquer,einbeziehen,involucrar,関与する,coinvolgere,כרוך
issue,problème,Ausgabe,asunto,問題,problema,נושא
it,il,Es,él,それ,Esso,זה
item,article,Artikel,artículo,アイテム,articolo,פריט
its,c'est,es ist,es,その,suo,שֶׁלָה
itself,lui-même,selbst,sí mismo,自体,si,עצמה
job,emploi,Arbeit,trabajo,仕事,lavoro,עבודה
join,rejoindre,verbinden,unirse,参加する,giuntura,לְהִצְטַרֵף
just,juste,Nur,justo,ただ,Appena,רַק
keep,garder,halten,mantener,保つ,Mantenere,לִשְׁמוֹר
key,clé,Schlüssel,llave,鍵,chiave,מַפְתֵחַ
kid,enfant,Kind,niño,子供,ragazzo,יֶלֶד
kill,tuer,töten,matar,殺す,uccisione,לַהֲרוֹג
kind,gentil,Art,amable,親切,Tipo,סוג
kitchen,cuisine,Küche,cocina,台所,cucina,מִטְבָּח
know,savoir,wissen,saber,知る,Sapere,לָדַעַת
knowledge,connaissance,Wissen,conocimiento,知識,conoscenza,יֶדַע
land,atterrir,Land,tierra,土地,terra,ארץ
language,langue,Sprache,idioma,言語,lingua,שפה
large,grand,groß,grande,大きい,grande,גָדוֹל
last,dernier,zuletzt,último,最後,scorso,אחרון
late,en retard,spät,tarde,遅い,tardi,מאוחר
later,plus tard,später,más tarde,後で,Dopo,יותר מאוחר
laugh,rire,lachen,reír,笑う,ridere,לִצְחוֹק
law,loi,Gesetz,ley,法,legge,חוֹק
lawyer,avocat,Rechtsanwalt,abogado,弁護士,avvocato,עורך דין
lay,poser,legen,poner,横たわる,posizione,לְהַנִיחַ
lead,plomb,führen,dirigir,鉛,Guida,עוֹפֶרֶת
leader,chef,Führer,líder,リーダー,capo,מַנהִיג
learn,apprendre,lernen,aprender,学ぶ,Imparare,לִלמוֹד
least,moins,am wenigsten,el menos,少しでも,meno,הכי פחות
leave,partir,verlassen,dejar,離れる,Partire,לעזוב
left,gauche,links,izquierda,左,Sinistra,שמאלה
leg,jambe,Bein,pierna,脚,gamba,רגל
legal,légal,legal,legal,法律上の,legale,משפטי
less,moins,weniger,menos,少ない,meno,פָּחוֹת
let,laisser,lassen,dejar,させて,permettere,לתת
letter,lettre,Brief,carta,手紙,lettera,מִכְתָב
level,niveau,Ebene,nivel,レベル,livello,רָמָה
lie,mensonge,Lüge,mentir,嘘,menzogna,שקר
